Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode,,
18863,0,0,8.9,-1.11,-3.6,0,0,,
19010,0,0,9.21,-1.03,-3.46,0,0,,
19138,0,0,9.4,-0.72,-2.39,0,0,,
19273,0,0,9.84,-0.65,-3.62,0,0,,
19424,0,0,9.06,0.91,-3.58,0,0,,
19575,0,0,10.26,1.97,-0.4,0,0,,
19756,0,0,9.13,2.52,1.07,0,0,,
19882,0,0,8.9,4,2.87,0,0,,
20028,0,0,9.73,4.19,1.87,0,0,,
20154,0,0,8.92,3.6,3.88,0,0,,
20291,0,0,9.61,2.35,2.18,0,0,,
20442,0,0,7.81,4.34,2.64,0,0,,
20593,0,0,8.92,4.5,3,0,0,,
20771,0,0,8.71,4.25,2.83,0,0,,
20897,0,0,8.77,4.69,1.89,0,0,,
21046,0,0,9.71,3.73,1.45,0,0,,
21172,0,0,7.43,4.98,2.05,0,0,,
21309,0,0,8.66,4.06,2.18,0,0,,
21460,0,0,8.81,4.33,2.56,0,0,,
21611,0,0,8.58,4.54,1.97,0,0,,
21789,0,0,8.48,4.59,1.7,0,0,,
21915,0,0,8.35,4.82,2.6,0,0,,
22064,0,0,8.87,4.71,1.93,0,0,,
22192,0,0,8.62,4.84,2.31,0,0,,
22326,0,0,8.44,4.57,2.5,0,0,,
22477,0,0,8.46,4.5,2.79,0,0,,
22628,0,0,9.04,4.13,2.43,0,0,,
22806,0,0,8.48,4.69,2.37,0,0,,
22932,0,0,8.92,4.23,1.76,0,0,,
23081,0,0,7.89,5.13,1.66,0,0,,
23207,0,0,8.64,4.33,2.2,0,0,,
23344,0,0,7.98,5.65,2.12,0,0,,
23495,0,0,7.64,5.93,0.76,0,0,,
23646,0,0,7.58,6.95,1.8,0,0,,
23824,0,0,7.24,7.03,0.17,0,0,,
23950,0,0,7.2,7.24,0.15,0,0,,
24076,0,0,7.05,7.52,0.03,0,0,,
24211,0,0,7.28,7.08,0.38,0,0,,
24362,0,0,7.77,7.33,1.22,0,0,,
24513,0,0,7.08,6.34,0.91,0,0,,
24664,0,0,7.77,6.09,0.3,0,0,,
24842,0,0,7.77,7.07,1.39,0,0,,
24968,0,0,6.61,6.09,2.5,0,0,,
25096,0,0,7.14,6.13,2.68,0,0,,
25229,0,0,7.31,7.03,2.64,0,0,,
25380,0,0,7.3,6.41,2.2,0,0,,
25531,0,0,7.26,7.05,1.55,0,0,,
25682,0,0,6.93,7.1,1.87,0,0,,
25860,0,0,7.2,7.01,2.03,0,0,,
25987,0,0,7.35,6.82,1.87,0,0,,
26113,0,0,7.83,6.47,2.52,0,0,,
26246,0,0,7.41,6.62,1.41,0,0,,
26397,0,0,8.83,5.84,1.37,0,0,,
26548,0,0,6.93,6.68,1.78,0,0,,
26699,0,0,7.01,5.95,0.65,0,0,,
26877,0,0,7.83,6.84,1.93,0,0,,
27003,0,0,4.96,7.14,2.54,0,0,,
27129,0,0,5.92,7.51,3.04,0,0,,
27264,0,0,4.75,8.39,3.54,0,0,,
27415,0,0,5.23,9.02,4.25,0,0,,
27566,0,0,4.9,7.08,4.44,0,0,,
27717,0,0,5.47,7.35,3.98,0,0,,
