
Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode
171399,38.2612233,140.8485612,-5.36,0.19,9.02,0.00,0
171579,38.2612233,140.8485612,-5.17,0.63,7.91,0.00,0
171702,38.2612233,140.8485612,-5.59,0.70,9.98,0.00,0
171852,38.2612233,140.8485612,-5.57,0.05,7.81,0.00,0
172003,38.2612233,140.8485612,-6.30,0.03,7.91,0.00,0
172127,38.2612233,140.8485612,-5.28,0.53,8.04,0.00,0
172266,38.2612233,140.8485612,-6.43,0.68,8.96,0.00,0
172417,38.2612233,140.8485612,-5.95,0.11,8.52,0.00,0
172597,38.2612233,140.8485612,-5.61,0.09,8.62,0.00,0
172720,38.2612233,140.8485612,-6.91,-0.34,8.23,0.00,0
172870,38.2612233,140.8485612,-5.28,0.42,8.10,0.00,0
173021,38.2612233,140.8485612,-5.49,0.42,8.66,0.00,0
173143,38.2612233,140.8485612,-5.05,0.74,8.39,0.00,0
173285,38.2612233,140.8485612,-7.14,0.36,7.75,0.00,0
173436,38.2612233,140.8485612,-5.01,-0.03,8.46,0.00,0
173617,38.2612233,140.8485612,-6.80,0.67,8.31,0.00,0
173740,38.2612233,140.8485612,-4.61,2.28,8.39,0.00,0
173889,38.2612233,140.8485612,-5.80,0.45,8.14,0.00,0
174040,38.2612233,140.8485612,-5.93,0.95,8.35,0.00,0
174162,38.2612233,140.8485612,-6.80,1.11,8.44,0.00,0
174303,38.2612233,140.8485612,-5.84,0.63,8.67,0.00,0
174454,38.2612233,140.8485612,-5.21,-1.78,8.37,0.00,0
174635,38.2612233,140.8485612,-6.51,3.02,6.41,0.00,0
174758,38.2612233,140.8485612,-5.99,1.43,4.50,0.00,0
174907,38.2612233,140.8485612,-11.24,5.09,1.97,0.00,0
175058,38.2612233,140.8485612,-9.65,4.44,2.06,0.00,0
175180,38.2612233,140.8485612,-9.29,5.49,0.63,0.00,0
175322,38.2612233,140.8485612,-10.49,5.86,-0.74,0.00,0
175473,38.2612233,140.8485612,-9.10,5.24,1.43,0.00,0
175653,38.2612233,140.8485612,-9.40,3.58,2.03,0.00,0
175776,38.2612233,140.8485612,-8.67,3.16,2.37,0.00,0
175926,38.2612233,140.8485612,-7.37,1.70,4.23,0.00,0
176077,38.2612233,140.8485612,-5.95,1.36,5.51,0.00,0
176201,38.2612233,140.8485612,-8.21,1.11,5.99,0.00,0
176341,38.2612233,140.8485612,-4.80,-0.09,9.04,0.00,0
176492,38.2612233,140.8485612,-9.48,2.72,6.45,0.00,0
176672,38.2612233,140.8485612,-7.03,0.34,8.16,0.00,0
176795,38.2612233,140.8485612,-7.68,1.55,7.20,0.00,0
176945,38.2612233,140.8485612,-7.93,1.03,6.68,0.00,0
177068,38.2612233,140.8485612,-8.48,0.36,6.20,0.00,0
177208,38.2612233,140.8485612,-8.12,0.84,5.13,0.00,0
177359,38.2612233,140.8485612,-7.97,0.63,6.30,0.00,0
177510,38.2612233,140.8485612,-7.72,0.82,6.57,0.00,0
177689,38.2612233,140.8485612,-8.85,0.34,6.43,0.00,0
177812,38.2612233,140.8485612,-7.62,0.84,6.05,0.00,0
177963,38.2612233,140.8485612,-7.20,0.84,3.94,0.00,0
178086,38.2612233,140.8485612,-8.02,0.78,6.09,0.00,0
178227,38.2612233,140.8485612,-8.21,1.13,5.30,0.00,0
178378,38.2612233,140.8485612,-7.85,-0.07,5.99,0.00,0
178529,38.2612233,140.8485612,-8.67,0.74,5.86,0.00,0
178709,38.2612233,140.8485612,-7.97,0.42,5.61,0.00,0
178832,38.2612233,140.8485612,-8.35,0.72,5.86,0.00,0
178982,38.2612233,140.8485612,-8.04,0.53,6.34,0.00,0
179104,38.2612233,140.8485612,-8.25,0.32,6.13,0.00,0
179246,38.2612233,140.8485612,-7.68,0.28,6.07,0.00,0
179397,38.2612233,140.8485612,-9.13,0.05,6.18,0.00,0
179548,38.2612233,140.8485612,-8.46,0.13,5.67,0.00,0
179728,38.2612233,140.8485612,-8.33,0.17,5.90,0.00,0
179850,38.2612233,140.8485612,-8.48,0.13,6.16,0.00,0
180001,38.2612233,140.8485612,-7.79,0.15,5.97,0.00,0
180123,38.2612233,140.8485612,-8.48,0.30,6.16,0.00,0
180265,38.2612233,140.8485612,-8.33,-0.15,6.07,0.00,0
180416,38.2612233,140.8485612,-7.68,0.63,6.38,0.00,0
180567,38.2612233,140.8485612,-8.39,0.42,6.05,0.00,0
180747,38.2612233,140.8485612,-9.17,0.03,5.97,0.00,0
180870,38.2612233,140.8485612,-8.89,-0.36,6.24,0.00,0
181020,38.2612233,140.8485612,-8.21,0.21,6.05,0.00,0
181143,38.2612233,140.8485612,-8.00,-0.13,6.34,0.00,0
181284,38.2612233,140.8485612,-8.52,-0.47,6.05,0.00,0
181435,38.2612233,140.8485612,-8.37,0.01,5.82,0.00,0
181586,38.2612233,140.8485612,-8.23,-0.34,5.99,0.00,0
181776,38.2612233,140.8485612,-8.06,-0.34,6.38,0.00,0
181899,38.2612233,140.8485612,-8.04,0.00,6.09,0.00,0
182039,38.2612233,140.8485612,-7.98,0.00,5.97,0.00,0
182161,38.2612233,140.8485612,-8.50,0.00,5.61,0.00,0
182303,38.2612233,140.8485612,-8.14,-0.03,6.09,0.00,0
182454,38.2612233,140.8485612,-8.41,0.07,6.38,0.00,0
182605,38.2612233,140.8485612,-8.20,-0.03,6.30,0.00,0
182786,38.2612233,140.8485612,-8.96,0.15,5.63,0.00,0
182909,38.2612233,140.8485612,-8.04,-0.05,5.93,0.00,0
183058,38.2612233,140.8485612,-7.52,0.63,6.39,0.00,0
183180,38.2612233,140.8485612,-8.20,-0.30,6.13,0.00,0
183322,38.2612233,140.8485612,-7.87,-0.44,6.51,0.00,0
183473,38.2612233,140.8485612,-9.02,-0.15,5.55,0.00,0
183624,38.2612233,140.8485612,-8.14,-0.57,5.90,0.00,0
183805,38.2612233,140.8485612,-8.92,-0.45,5.78,0.00,0
183928,38.2612233,140.8485612,-8.04,0.21,5.99,0.00,0
184077,38.2612233,140.8485612,-9.40,-0.61,5.97,0.00,0
184199,38.2612233,140.8485612,-8.94,-0.11,5.59,0.00,0
184341,38.2612233,140.8485612,-7.20,-0.03,5.59,0.00,0
184492,38.2612233,140.8485612,-6.99,-0.01,6.38,0.00,0
184643,38.2612233,140.8485612,-10.28,-0.42,5.07,0.00,0
184825,38.2612233,140.8485612,-8.67,-0.49,5.57,0.00,0
184948,38.2612233,140.8485612,-7.10,0.17,6.11,0.00,0
185070,38.2612233,140.8485612,-9.75,-0.57,5.63,0.00,0
185208,38.2612233,140.8485612,-9.44,0.84,4.02,0.00,0
185359,38.2612233,140.8485612,-9.36,-0.34,5.00,0.00,0
185510,38.2612233,140.8485612,-9.69,0.24,3.73,0.00,0
185661,38.2612233,140.8485612,-9.69,0.11,3.50,0.00,0
185843,38.2612233,140.8485612,-10.11,0.57,2.75,0.00,0
185966,38.2612233,140.8485612,-10.13,-0.03,3.12,0.00,0
186089,38.2612233,140.8485612,-9.56,0.19,3.04,0.00,0
186227,38.2612233,140.8485612,-9.10,-1.01,4.48,0.00,0
186378,38.2612233,140.8485612,-10.19,0.78,3.37,0.00,0
186529,38.2612233,140.8485612,-8.54,0.00,3.60,0.00,0
186680,38.2612233,140.8485612,-10.15,0.15,2.93,0.00,0
186861,38.2612233,140.8485612,-10.48,0.95,2.83,0.00,0
186984,38.2612233,140.8485612,-9.23,0.65,4.27,0.00,0
187108,38.2612233,140.8485612,-8.96,0.80,5.19,0.00,0
187245,38.2612233,140.8485612,-6.97,-0.53,5.36,0.00,0
187396,38.2612233,140.8485612,-10.78,0.88,5.40,0.00,0
187547,38.2612233,140.8485612,-7.49,-1.14,6.16,0.00,0
187698,38.2612233,140.8485612,-8.60,-1.37,6.59,0.00,0
187879,38.2612233,140.8485612,-8.89,-1.30,5.11,0.00,0
188002,38.2612233,140.8485612,-8.79,-1.43,5.19,0.00,0
188125,38.2612233,140.8485612,-8.83,-1.41,5.11,0.00,0
188264,38.2612233,140.8485612,-8.25,-1.41,4.86,0.00,0
188415,38.2612233,140.8485612,-9.10,-1.49,5.34,0.00,0
188566,38.2612233,140.8485612,-8.87,-1.66,5.17,0.00,0
188717,38.2612233,140.8485612,-8.64,-1.34,5.05,0.00,0
188898,38.2612233,140.8485612,-8.12,-1.30,5.57,0.00,0
189021,38.2612233,140.8485612,-8.73,-1.34,5.59,0.00,0
189144,38.2612233,140.8485612,-8.50,-1.53,5.49,0.00,0
189283,38.2612233,140.8485612,-8.56,-1.47,5.21,0.00,0
189434,38.2612233,140.8485612,-8.52,-1.47,5.82,0.00,0
189585,38.2612233,140.8485612,-8.75,-1.74,5.44,0.00,0
189736,38.2612233,140.8485612,-8.73,-0.99,5.30,0.00,0
189919,38.2612233,140.8485612,-8.66,-1.62,5.38,0.00,0
190042,38.2612233,140.8485612,-8.43,-1.51,5.59,0.00,0
190165,38.2612233,140.8485612,-8.69,-1.57,5.55,0.00,0
190302,38.2612233,140.8485612,-8.16,-1.82,5.53,0.00,0
190453,38.2612233,140.8485612,-8.87,-1.39,5.76,0.00,0
190604,38.2612233,140.8485612,-7.91,-1.68,6.03,0.00,0
190755,38.2612233,140.8485612,-8.73,-1.85,5.51,0.00,0
190936,38.2612233,140.8485612,-8.14,-1.32,5.17,0.00,0
191059,38.2612233,140.8485612,-8.71,-1.57,5.17,0.00,0
191183,38.2612233,140.8485612,-8.31,-2.10,5.28,0.00,0
191321,38.2612233,140.8485612,-8.43,-1.57,4.63,0.00,0
191472,38.2612233,140.8485612,-9.79,-1.99,4.15,0.00,0
191623,38.2612233,140.8485612,-9.13,-1.51,4.33,0.00,0
191774,38.2612233,140.8485612,-9.29,-1.80,4.17,0.00,0
191955,38.2612233,140.8485612,-9.42,-1.53,4.19,0.00,0
192078,38.2612233,140.8485612,-9.02,-1.47,4.29,0.00,0
192201,38.2612233,140.8485612,-8.52,-1.95,4.44,0.00,0
192340,38.2612233,140.8485612,-9.40,-1.93,3.75,0.00,0
192491,38.2612233,140.8485612,-9.77,-2.08,3.92,0.00,0
192642,38.2612233,140.8485612,-9.77,-1.51,3.37,0.00,0
192793,38.2612233,140.8485612,-9.59,-0.93,4.33,0.00,0
192974,38.2612233,140.8485612,-8.94,-2.31,2.60,0.00,0
193097,38.2612233,140.8485612,-9.86,-1.41,2.16,0.00,0
193220,38.2612233,140.8485612,-9.00,-2.49,-0.55,0.00,0
193358,38.2612233,140.8485612,-9.15,-0.51,-1.20,0.00,0
193509,38.2612233,140.8485612,-9.61,-0.70,-3.75,0.00,0
193660,38.2612233,140.8485612,-9.15,-0.93,-3.42,0.00,0
193811,38.2612233,140.8485612,-8.79,-0.80,-3.85,0.00,0
193995,38.2612233,140.8485612,-9.00,-0.17,-4.29,0.00,0
194118,38.2612233,140.8485612,-9.00,-0.63,-4.23,0.00,0
194241,38.2612233,140.8485612,-7.77,-1.49,-3.37,0.00,0
194376,38.2612233,140.8485612,-9.08,-0.67,-2.66,0.00,0
194527,38.2612233,140.8485612,-9.29,-0.88,-2.91,0.00,0
194678,38.2612233,140.8485612,-9.13,-0.82,-3.62,0.00,0
194829,38.2612233,140.8485612,-9.23,-1.09,-4.02,0.00,0
195011,38.2612233,140.8485612,-9.27,-1.09,-3.90,0.00,0
195134,38.2612233,140.8485612,-8.94,-1.11,-3.75,0.00,0
195258,38.2612233,140.8485612,-9.21,-1.07,-3.85,0.00,0
195395,38.2612233,140.8485612,-9.79,0.49,-3.90,0.00,0
195546,38.2612233,140.8485612,-8.41,-0.59,-3.35,0.00,0
195697,38.2612233,140.8485612,-10.05,-1.45,-3.94,0.00,0
195848,38.2612233,140.8485612,-9.88,-1.43,-3.21,0.00,0
196030,38.2612233,140.8485612,-9.12,-0.65,-4.59,0.00,0
196153,38.2612233,140.8485612,-9.46,-1.30,-3.71,0.00,0
196276,38.2612233,140.8485612,-9.21,-1.26,-3.44,0.00,0
196414,38.2612233,140.8485612,-8.39,-0.80,-3.52,0.00,0
196565,38.2612233,140.8485612,-9.50,-1.01,-3.37,0.00,0
196716,38.2612233,140.8485612,-9.23,-0.84,-3.18,0.00,0
196867,38.2612233,140.8485612,-9.12,-1.18,-3.06,0.00,0
197049,38.2612233,140.8485612,-9.56,-1.43,-3.71,0.00,0
197172,38.2612233,140.8485612,-8.12,-0.88,-5.15,0.00,0
197295,38.2612233,140.8485612,-6.76,-1.62,-6.95,0.00,0
197433,38.2612233,140.8485612,-5.90,-0.90,-6.51,0.00,0
197584,38.2612233,140.8485612,-3.39,-1.24,-10.84,0.00,0
197735,38.2612233,140.8485612,-1.41,-1.22,-9.58,0.00,0
197886,38.2612233,140.8485612,-2.35,-0.78,-9.23,0.00,0
198068,38.2612233,140.8485612,-1.66,-0.42,-11.03,0.00,0
198191,38.2612233,140.8485612,-2.52,-0.93,-10.02,0.00,0
198314,38.2612233,140.8485612,-2.16,-0.36,-9.19,0.00,0
198451,38.2612233,140.8485612,-1.66,-1.30,-9.31,0.00,0
198602,38.2612233,140.8485612,-1.91,-0.80,-9.31,0.00,0
198753,38.2612233,140.8485612,-2.45,-0.68,-10.25,0.00,0
198904,38.2612233,140.8485612,-1.83,-0.90,-8.62,0.00,0
199086,38.2612233,140.8485612,-2.64,-1.32,-9.19,0.00,0
199210,38.2612233,140.8485612,-1.93,-1.09,-9.08,0.00,0
199333,38.2612233,140.8485612,-2.06,-0.72,-9.12,0.00,0
199470,38.2612233,140.8485612,-3.21,-0.51,-8.79,0.00,0
199621,38.2612233,140.8485612,-1.37,-1.13,-9.77,0.00,0
199772,38.2612233,140.8485612,-1.85,-1.59,-9.13,0.00,0
199923,38.2612233,140.8485612,-2.95,-0.97,-9.52,0.00,0
200105,38.2612233,140.8485612,-2.20,-2.01,-10.15,0.00,0
200228,38.2612233,140.8485612,-3.29,-0.93,-11.03,0.00,0
200351,38.2612233,140.8485612,-3.04,-0.22,-9.44,0.00,0
200489,38.2612233,140.8485612,-2.60,-0.59,-8.69,0.00,0
200640,38.2612233,140.8485612,-3.58,-0.76,-8.89,0.00,0
200791,38.2612233,140.8485612,-2.98,0.34,-8.64,0.00,0
200942,38.2612233,140.8485612,-3.67,-0.90,-9.67,0.00,0
201124,38.2612233,140.8485612,-3.12,-0.65,-9.36,0.00,0
201247,38.2612233,140.8485612,-3.60,-0.47,-8.77,0.00,0
201369,38.2612233,140.8485612,-2.87,-0.93,-9.15,0.00,0
201508,38.2612233,140.8485612,-3.08,-0.65,-8.73,0.00,0
201659,38.2612233,140.8485612,-2.77,-0.91,-9.40,0.00,0
201810,38.2612233,140.8485612,-2.85,-0.49,-9.42,0.00,0
201961,38.2612233,140.8485612,-2.72,-0.91,-9.61,0.00,0
202143,38.2612233,140.8485612,-2.54,-1.32,-8.92,0.00,0
202266,38.2612233,140.8485612,-3.04,-0.80,-8.85,0.00,0
202389,38.2612233,140.8485612,-2.58,-0.59,-8.81,0.00,0
202527,38.2612233,140.8485612,-2.68,-0.90,-10.07,0.00,0
202678,38.2612233,140.8485612,-2.83,-1.13,-9.29,0.00,0
202829,38.2612233,140.8485612,-3.06,0.07,-8.90,0.00,0
202980,38.2612233,140.8485612,-1.32,-1.62,-9.29,0.00,0
203162,38.2612233,140.8485612,-0.65,-0.26,-9.58,0.00,0
203286,38.2612233,140.8485612,1.36,0.09,-10.03,0.00,0
203409,38.2612233,140.8485612,3.98,-0.57,-9.52,0.00,0
203547,38.2612233,140.8485612,5.26,-0.11,-9.02,0.00,0
203698,38.2612233,140.8485612,7.77,-0.80,-7.66,0.00,0
203849,38.2612233,140.8485612,7.10,0.68,-6.89,0.00,0
204000,38.2612233,140.8485612,6.70,0.24,-6.80,0.00,0
204180,38.2612233,140.8485612,6.24,0.97,-6.59,0.00,0
204303,38.2612233,140.8485612,6.38,0.99,-7.03,0.00,0
204426,38.2612233,140.8485612,6.80,1.16,-7.35,0.00,0
204567,38.2612233,140.8485612,6.57,0.90,-6.93,0.00,0
204718,38.2612233,140.8485612,7.20,0.53,-6.91,0.00,0
204869,38.2612233,140.8485612,7.31,0.95,-6.36,0.00,0
205020,38.2612233,140.8485612,7.47,0.67,-6.53,0.00,0
205200,38.2612233,140.8485612,7.47,0.32,-6.15,0.00,0
205323,38.2612233,140.8485612,7.60,0.61,-6.24,0.00,0
205473,38.2612233,140.8485612,8.14,0.61,-5.74,0.00,0
205624,38.2612233,140.8485612,7.52,0.88,-5.63,0.00,0
205775,38.2612233,140.8485612,8.00,1.26,-6.62,0.00,0
205926,38.2612233,140.8485612,7.62,0.90,-5.55,0.00,0
206077,38.2612233,140.8485612,7.91,0.19,-6.26,0.00,0
206257,38.2612233,140.8485612,7.58,0.68,-4.48,0.00,0
206380,38.2612233,140.8485612,8.06,0.47,-5.76,0.00,0
206530,38.2612233,140.8485612,7.87,0.32,-5.92,0.00,0
206681,38.2612233,140.8485612,8.14,0.53,-5.42,0.00,0
206832,38.2612233,140.8485612,7.10,-0.01,-6.26,0.00,0
206983,38.2612233,140.8485612,7.98,1.01,-7.75,0.00,0
207135,38.2612233,140.8485612,7.35,0.40,-6.70,0.00,0
207315,38.2612233,140.8485612,5.15,1.05,-5.09,0.00,0
207439,38.2612233,140.8485612,7.16,0.49,-4.67,0.00,0
207588,38.2612233,140.8485612,9.88,-0.17,-2.81,0.00,0
207739,38.2612233,140.8485612,9.48,-0.95,-1.57,0.00,0
207890,38.2612233,140.8485612,11.07,-0.42,-1.26,0.00,0
208041,38.2612233,140.8485612,10.07,-1.03,1.49,0.00,0
208192,38.2612233,140.8485612,10.02,-0.72,0.88,0.00,0
208373,38.2612233,140.8485612,10.02,-2.05,1.83,0.00,0
208496,38.2612233,140.8485612,9.35,-0.15,0.28,0.00,0
208646,38.2612233,140.8485612,10.07,-1.32,1.80,0.00,0
208797,38.2612233,140.8485612,9.29,-1.26,1.34,0.00,0
208948,38.2612233,140.8485612,9.12,-0.84,2.39,0.00,0
209070,38.2612233,140.8485612,9.08,-1.09,3.37,0.00,0
209211,38.2612233,140.8485612,5.32,1.32,1.36,0.00,0
209390,38.2612233,140.8485612,9.94,-0.70,3.19,0.00,0
209519,38.2612233,140.8485612,9.71,-0.74,2.29,0.00,0
209664,38.2612233,140.8485612,9.67,-0.67,2.05,0.00,0
209815,38.2612233,140.8485612,9.69,-0.21,1.34,0.00,0
209966,38.2612233,140.8485612,9.69,-0.91,1.41,0.00,0
210088,38.2612233,140.8485612,9.46,-0.47,1.20,0.00,0
210229,38.2612233,140.8485612,9.65,-0.42,0.55,0.00,0
210409,38.2612233,140.8485612,9.59,-1.01,-0.90,0.00,0
210532,38.2612233,140.8485612,9.50,-0.19,0.67,0.00,0
210682,38.2612233,140.8485612,9.84,-0.19,1.49,0.00,0
210833,38.2612233,140.8485612,9.88,-0.15,1.47,0.00,0
210984,38.2612233,140.8485612,9.98,-0.49,1.62,0.00,0
211106,38.2612233,140.8485612,9.44,-0.67,1.70,0.00,0
211247,38.2612233,140.8485612,8.79,-0.61,2.87,0.00,0
211427,38.2612233,140.8485612,7.26,-0.82,7.14,0.00,0
211552,38.2612233,140.8485612,6.70,-1.05,7.37,0.00,0
211700,38.2612233,140.8485612,5.86,-1.34,7.41,0.00,0
211851,38.2612233,140.8485612,5.46,-0.90,7.62,0.00,0
212002,38.2612233,140.8485612,6.24,-0.65,7.39,0.00,0
212125,38.2612233,140.8485612,6.57,-0.68,7.75,0.00,0
212267,38.2612233,140.8485612,5.74,-0.80,8.21,0.00,0
212454,38.2612233,140.8485612,3.96,-0.88,9.10,0.00,0
212576,38.2612233,140.8485612,3.27,-0.57,9.92,0.00,0
212720,38.2612233,140.8485612,2.73,-0.57,9.21,0.00,0
212871,38.2612233,140.8485612,-0.40,-1.30,10.55,0.00,0
213022,38.2612233,140.8485612,-2.08,-2.70,10.00,0.00,0
213144,38.2612233,140.8485612,-1.78,-1.05,9.98,0.00,0
213286,38.2612233,140.8485612,-2.49,-0.63,9.63,0.00,0
213467,38.2612233,140.8485612,-2.43,-0.61,10.07,0.00,0
213590,38.2612233,140.8485612,-2.41,-0.28,9.56,0.00,0
213739,38.2612233,140.8485612,-3.10,-0.63,9.81,0.00,0
213890,38.2612233,140.8485612,-3.23,-0.82,10.32,0.00,0
214041,38.2612233,140.8485612,-3.12,-0.82,9.65,0.00,0
214163,38.2612233,140.8485612,-2.98,-0.78,9.46,0.00,0
214306,38.2612233,140.8485612,-2.95,-0.99,9.52,0.00,0
214487,38.2612233,140.8485612,-2.68,-0.63,9.63,0.00,0
214609,38.2612233,140.8485612,-3.02,-0.57,9.31,0.00,0
214759,38.2612233,140.8485612,-2.50,-0.91,9.31,0.00,0
214910,38.2612233,140.8485612,-2.56,-1.11,11.09,0.00,0
215061,38.2612233,140.8485612,-3.29,-0.67,9.06,0.00,0
215183,38.2612233,140.8485612,-3.10,-0.24,9.38,0.00,0
215326,38.2612233,140.8485612,-1.01,-0.88,9.00,0.00,0
215507,38.2612233,140.8485612,-2.60,-0.53,10.28,0.00,0
215631,38.2612233,140.8485612,-3.39,0.67,8.66,0.00,0
215779,38.2612233,140.8485612,-6.84,-2.10,8.10,0.00,0
215930,38.2612233,140.8485612,-9.73,-0.05,10.59,0.00,0
216081,38.2612233,140.8485612,-7.39,0.09,11.17,0.00,0
216203,38.2612233,140.8485612,-6.47,0.55,8.31,0.00,0
216346,38.2612233,140.8485612,-4.15,-0.09,8.00,0.00,0
216527,38.2612233,140.8485612,-2.62,-2.49,8.98,0.00,0
216650,38.2612233,140.8485612,0.76,-5.23,8.10,0.00,0
216799,38.2612233,140.8485612,1.36,-7.39,6.38,0.00,0
216950,38.2612233,140.8485612,1.20,-8.46,6.32,0.00,0
217074,38.2612233,140.8485612,1.34,-10.36,8.79,0.00,0
217213,38.2612233,140.8485612,1.76,-10.69,8.52,0.00,0
217364,38.2612233,140.8485612,0.30,-7.52,7.54,0.00,0
217544,38.2612233,140.8485612,0.30,-7.18,4.29,0.00,0
217667,38.2612233,140.8485612,1.32,-10.38,7.18,0.00,0
217817,38.2612233,140.8485612,2.06,-9.06,4.92,0.00,0
217968,38.2612233,140.8485612,1.07,-11.49,3.71,0.00,0
218090,38.2612233,140.8485612,1.95,-9.56,3.23,0.00,0
218231,38.2612233,140.8485612,1.20,-11.11,6.13,0.00,0
218382,38.2612233,140.8485612,0.65,-8.58,8.71,0.00,0
218562,38.2612233,140.8485612,-0.21,-10.07,5.38,0.00,0
218685,38.2612233,140.8485612,-1.18,-9.75,7.01,0.00,0
218835,38.2612233,140.8485612,3.44,-7.45,5.57,0.00,0
218986,38.2612233,140.8485612,0.11,-8.16,1.83,0.00,0
219108,38.2612233,140.8485612,2.08,-8.04,6.64,0.00,0
219248,38.2612233,140.8485612,0.95,-11.13,2.93,0.00,0
219399,38.2612233,140.8485612,-1.43,-9.65,2.95,0.00,0
219580,38.2612233,140.8485612,1.18,-9.81,3.42,0.00,0
219704,38.2612233,140.8485612,2.20,-9.54,3.71,0.00,0
219852,38.2612233,140.8485612,2.03,-9.27,3.16,0.00,0
220003,38.2612233,140.8485612,2.75,-9.65,4.63,0.00,0
220125,38.2612233,140.8485612,3.27,-10.21,5.46,0.00,0
220267,38.2612233,140.8485612,3.75,-8.12,5.95,0.00,0
220418,38.2612233,140.8485612,1.83,-8.64,3.08,0.00,0
220597,38.2612233,140.8485612,0.65,-8.41,4.90,0.00,0
220720,38.2612233,140.8485612,1.82,-9.88,5.34,0.00,0
220871,38.2612233,140.8485612,0.76,-10.48,5.67,0.00,0
221022,38.2612233,140.8485612,0.93,-10.13,4.11,0.00,0
221146,38.2612233,140.8485612,0.01,-10.17,4.00,0.00,0
221287,38.2612233,140.8485612,0.03,-9.27,4.59,0.00,0
221438,38.2612233,140.8485612,0.84,-8.87,3.25,0.00,0
221618,38.2612233,140.8485612,1.32,-11.01,-1.20,0.00,0
221741,38.2612233,140.8485612,0.86,-8.98,-3.52,0.00,0
221891,38.2612233,140.8485612,1.83,-10.38,13.77,0.00,0
222042,38.2612233,140.8485612,-0.17,-10.59,-0.90,0.00,0
222164,38.2612233,140.8485612,-1.13,-9.73,1.07,0.00,0
222307,38.2612233,140.8485612,-11.11,-6.89,3.75,0.00,0
222458,38.2612233,140.8485612,-8.83,-3.23,-1.99,0.00,0
222640,38.2612233,140.8485612,-7.08,-7.56,-0.65,0.00,0
222763,38.2612233,140.8485612,-7.18,-7.51,-0.74,0.00,0
222911,38.2612233,140.8485612,-7.30,-8.23,-1.95,0.00,0
223062,38.2612233,140.8485612,-5.80,-8.16,-1.91,0.00,0
223184,38.2612233,140.8485612,-6.26,-9.82,2.28,0.00,0
223327,38.2612233,140.8485612,-4.77,-7.72,-2.45,0.00,0
223478,38.2612233,140.8485612,-3.75,-9.58,-1.55,0.00,0
223660,38.2612233,140.8485612,1.26,-9.82,-2.54,0.00,0
223785,38.2612233,140.8485612,-0.42,-10.51,-0.61,0.00,0
223931,38.2612233,140.8485612,-0.95,-13.31,-0.13,0.00,0
224082,38.2612233,140.8485612,-0.70,-12.05,-0.80,0.00,0
224204,38.2612233,140.8485612,0.07,-6.82,4.94,0.00,0
224347,38.2612233,140.8485612,-4.48,-7.01,3.16,0.00,0
224498,38.2612233,140.8485612,-7.28,-6.22,4.71,0.00,0
224679,38.2612233,140.8485612,-7.66,-7.05,5.17,0.00,0
224802,38.2612233,140.8485612,-7.30,-6.16,5.28,0.00,0
224951,38.2612233,140.8485612,-6.43,-4.90,5.63,0.00,0
225073,38.2612233,140.8485612,-11.97,-1.83,4.27,0.00,0
225215,38.2612233,140.8485612,-8.31,-2.43,5.38,0.00,0
225366,38.2612233,140.8485612,-8.37,-1.59,5.97,0.00,0
225517,38.2612233,140.8485612,-9.27,-1.55,3.65,0.00,0
225698,38.2612233,140.8485612,-10.30,-2.77,1.70,0.00,0
225821,38.2612233,140.8485612,-10.00,-2.16,2.66,0.00,0
225970,38.2612233,140.8485612,-9.75,-2.52,1.95,0.00,0
226092,38.2612233,140.8485612,-10.53,-2.60,2.72,0.00,0
226233,38.2612233,140.8485612,-8.18,-5.01,1.59,0.00,0
226384,38.2612233,140.8485612,-9.86,-0.45,4.29,0.00,0
226535,38.2612233,140.8485612,-6.68,-4.46,2.33,0.00,0
226716,38.2612233,140.8485612,-9.75,-1.03,3.41,0.00,0
226838,38.2612233,140.8485612,-10.07,-2.39,2.62,0.00,0
226988,38.2612233,140.8485612,-10.17,-2.01,3.81,0.00,0
227110,38.2612233,140.8485612,-9.50,-2.58,3.35,0.00,0
227251,38.2612233,140.8485612,-9.65,-2.75,3.60,0.00,0
227402,38.2612233,140.8485612,-9.10,-3.33,3.10,0.00,0
227553,38.2612233,140.8485612,-8.67,-4.08,3.44,0.00,0
227734,38.2612233,140.8485612,-8.83,-7.37,2.79,0.00,0
227858,38.2612233,140.8485612,-6.39,-7.91,1.13,0.00,0
228007,38.2612233,140.8485612,-7.18,-8.08,0.91,0.00,0
228129,38.2612233,140.8485612,-6.53,-7.66,0.99,0.00,0
228270,38.2612233,140.8485612,-7.58,-7.75,1.34,0.00,0
228421,38.2612233,140.8485612,-7.28,-8.04,1.28,0.00,0
228572,38.2612233,140.8485612,-7.05,-7.24,1.22,0.00,0
228753,38.2612233,140.8485612,-6.93,-7.85,0.91,0.00,0
228876,38.2612233,140.8485612,-7.56,-7.58,1.22,0.00,0
229027,38.2612233,140.8485612,-7.56,-6.91,1.28,0.00,0
229151,38.2612233,140.8485612,-6.84,-7.95,1.37,0.00,0
229290,38.2612233,140.8485612,-6.74,-8.29,1.18,0.00,0
229441,38.2612233,140.8485612,-7.10,-7.20,1.49,0.00,0
229592,38.2612233,140.8485612,-7.75,-6.80,2.45,0.00,0
229773,38.2612233,140.8485612,-5.92,-7.43,1.72,0.00,0
